NOME,APELIDO,ID,FOTO,NOMES_CIENTIFICOS,N_SEMENTES_G,N_DIAS_GERMINACAO,NECESSIDADE_HA,CICLO_DIAS_INV,CICLO_DIAS_VER,ESPACAMENTO_LINHA_PLANTAS,EPOCA_PLANTIO_R1,EPOCA_PLANTIO_R2,EPOCA_PLANTIO_R3,DESCRICAO,TAMANHO
Abobrinha,DE TRONCO REDONDA,8,"","[""Squash Round South American"", ""Zapallito de Tronco Verde"", ""Cucurbita maxima""]",7,4 - 8,4.50KG,"",,100 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,Fruto globular achatado com gomos na cor verde-escura. Ótima para rechear.,
Abobrinha,REDONDA CLARA,11,"","[""Squash Round Blond"", ""Zapallito Redondo Claro"", ""Cucurbita pepo""]",5,4 - 8,4.50KG,"",,100 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,Fruto redondo de cor verde-clara. Abobrinha de tronco. Variedade precoce. Colher frutos com 2cm de caule para melhor conservação pós-colheita.,
Abóbora,MAMMOTH,1,"","[""Pumpkin Big Max"", ""Zapalo Mammoth"", ""Cucurbita pepo""]",2,4 - 8,1.50KG,"",,400 x 400,R1 Todo ano,R2 Ago - Dez,R3 Ago - Dez,Gigante amarela/maranhão. Para trato animal ou doces.,
Abóbora,MENINA BRASILEIRA,2,"","[""Pumpkin Cushaw Golden"", ""Calabacin Menina Brasileira"", ""Cucurbita moschata""]",11,4 - 8,0.40KG,"",,300 x 300,R1 Todo ano,R2 Ago - Dez,R3 Ago - Dez,Fruto cilíndrico com pescoço de cor creme-amarela.Para doces.,
Abóbora j4,MENINA BRASILEIRA PRECOCE,3,"","[""Pumpkin Early Cushaw Golden"", ""Calabacin Menina Verde Rayado"", ""Cucurbita moschata""]",11,4 - 8,0.40KG,"",,300 x 300,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,Fruto cilíndrico com pescoço de cor verde. Para refogado.,
Abóbora,MENINA RAJADA (SECA),4,"","[""Pumpkin Cushaw Green Striped"", ""Calabacin Menina Verde Rayado"", ""Cucurbita moschata""]",10,4 - 8,0.40KG,"",,400 x 400,R1 Todo ano,R2 Ago - Nov,R3 Ago - Nov,Fruto cilíndrico com pescoço de cor verde-rajada.Para uso industrial (doces).,
Abóbora,GOIANINHA,5,"","[""Pumpkin Cushaw Short Green Striped"", ""Zapallo Goianinha"", ""Cucurbita moschata""]",25,4 - 8,0.40KG,"",,200 x 200,R1 Todo ano,R2 Ago - Jan,R3 Ago - Jan,Frutos de formato cilíndrico com pescoço de cor verde-escura com listras creme. Ótima conservação e sabor.,
Abóbora,BRS BRASILEIRINHA,9,"","[""Squash Brasileirinha"", ""Zapallito Brasileirinha"", ""Cucurbita maxima""]",15,4 - 8,0.70KG,"",,300 x 100,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,Frutos de formato cilíndrico com pescoço nas cores verde e amarela. Pode ser usada para picles quando os frutos atingirem de 9 a 10cm de comprimento.,
Abóbora,BUTTERNUT,12,"","[""Squash Walthan Butternut"", ""Zapallito Butternut (Coreanito)"", ""Cucurbita moschata""]",10,4 - 8,0.75KG,"",,200 x 200,R1 Todo ano,R2 Ago - Jan,R3 Ago - Jan,Frutos de formato cilíndrico com pescoço de cor creme.Para doces.,
Abóbora,ITAPUÃ 301 JACAREZINHO,23,"","[""Squash Itapuã 301"", ""Zapallito Itapuã 301"", ""Cucurbita moschata""]",7,4 - 8,0.60KG,"",,300 x 300,R1 Todo ano,R2 Ago - Dez,R3 Ago - Dez,Fruto globular achatado como gomos de casca verde-acinzentada. Ótima conservação e sabor.,
Abóbora,NOVA CARAVELA,25,"","[""Squash New Caravela"", ""Zapallo Nueva Caravela"", ""Cucurbita moschata""]",11,4 - 8,0.40KG,"",,300 x 300,R1 Todo ano,R2 Ago - Nov,R3 Ago - Nov,Fruto oblongo de casca creme. Excelente para doces.,
Abóbora,MINI PAULISTA,36,"","[""Pumpkin Mini Paulista"", ""Zapallo Mini Paulista"", ""Cucurbita moschata""]",16,4 - 8,0.25KG,"",,200 x 200,R1 Todo ano,R2 Ago - Fev,R3 Ago - Fev,Fruto cilíndrico com pescoço de casca verde com listras creme. Pescoço curto.,
Abóbora,ATLANTIC GIGANTE,911,"","[""Pumpkin Atlantic Giant"", ""Zapallo Atlantic Gigante"", ""Curcubita maxima""]",3,4 - 8,0.25KG,"",,500 x 500,R1 Todo ano,R2 Ago - Dez,R3 Ago - Dez,"Frutos muito grandes, não comestíveis. Indicado para exposições. Para obter frutos grandes, deixar apenas um fruto por cova.",
Abóbora,JERIMUM DE LEITE (SERGIPANA),913,"","[""Pumpkin Jerimum"", ""Zapallo de Leche"", ""Cucurbita moschata""]",7,4 - 8,0.70KG,"",,300 x 300,R1 Todo ano,R2 Todo ano,R3 Ago - Dez,Fruto globular achatado com gomos de cor cremeExcelente conservação pós-colheita. Variabilidade noformato e tamanho.,
Mogango,ENRUGADO VERDE SUL MIN.,10,"","[""Squash Hubbard Green"", ""Zapallo Hubbard Verde"", ""Cucurbita pepo""]",7,4 - 8,0.60KG,"",,300 x 300,R1 Todo ano,R2 Ago - Jan,R3 Ago - Jan,Fruto globular alongado com gomos de listras verde-claras e verde-escuras. Boa conservação.,
Moranga,DE MESA (EXPOSIÇÃO),13,"","[""Pumpkim Table Flat"", ""Zapallo de Mesa"", ""Cucurbita maxima""]",5,4 - 8,0.40KG,"",,400 x 400,R1 Todo ano,R2 Ago - Dez,R3 Ago - Dez,Fruto achatado com gomos de cor alaranjada. Pode ser usada como polinizadora da Tetsukabuto.,
Moranga,COROA,14,"","[""Pumpkim Grey Flat"", ""Zapallo Coroa"", ""Cucurbita maxima""]",5,4 - 8,0.40KG,"",,400 x 400,R1 Todo ano,R2 Ago - Dez,R3 Ago - Dez,Fruto achatado com gomos de cor cinza. Cabocla.,
Moranga,PATACA GIGANTE,19,"","[""Squash Pataca Giant"", ""Zapallo Grande Grueso"", ""Cucurbita maxima""]",5,4 - 8,0.40KG,"",,400 x 400,R1 Todo ano,R2 Ago - Dez,R3 Ago - Dez,Fruto globular achatado com gomos na cor cinza.Para doces ou uso industrial.,
Acelga,LOURA,17,"","[""Swiss Chard Butter Yellow"", ""Acelga Loura"", ""Beta vulgaris var. cicla""]",62,4 - 8,5.00KG,"",,60 x 20,R1 Mar - Jun,R2 Fev - Set,R3 Todo ano,"Folhas lisas, largas e tenras de cor verde-clara.Talos brancos, grossos e macios.",
Acelga,VERDE-ESCURA,18,"","[""Swiss Chard Large White Ribbed"", ""Acelga Criolla"", ""Beta vulgaris var. cicla""]",62,4 - 8,2.50KG,"",,60 x 20,R1 Mar - Jun,R2 Fev - Set,R3 Todo ano,"Folhas lisas, largas e grossas de cor verde-escura.Talos brancos, grossos e achatados.",
Agrião,DA ÁGUA FOLHA LARGA,20,"","[""Cress Water Large Leaved"", ""Berro de Água Hoja Larga"", ""Nasturtium officinale""]",5300,4 - 14,0.10KG,"",,20 x 20,R1 Abr - Jul,R2 Mar - Out,R3 Todo ano,"Folhas lisas, largas e tenras de cor verde. Fácil rebrote. Sementes peletizadas.",
Agrião,DA TERRA (PARA LAVOURA),21,"","[""Cress Upland"", ""Berro Liso"", ""Barbarea verna""]",838,4 - 7,0.300KG,"",,30 x 20,R1 Abr - Ago,R2 Mar - Out,R3 Todo ano,Folhas lisas e tenras de cor verde-escura. Folhas comsabor picante.,
Agrião,DA ÁGUA GIGANTE CALIXTO,920,"","[""Cress Water Giant Calixto"", ""Berro de Água Gigante Calixto"", ""Nasturtium officinales""]",5300,4 - 10,0.150KG,"",,20 x 20,R1 Abr - Jun,R2 Mar - Out,R3 Todo ano,"Folhas lisas, largas e tenras. Coloração verde. Necessita de muita água. Fácil rebrote. Disponível peletizado.",
Aipo/Salsão, PASCAL TRONCHUDO,24,"","[""Celery Giant White Pascal"", ""Aipo Gigante Pascal"", ""Apium graveolens""]",2500,10 - 21,0.400KG,"",,30 x 30,R1 Abr - Ago,R2 Fev - Jul,R3 Fev - Jul,Folhas crespas e cor verde-escura. Talos fortes e brancos.,
Alcachofra,ROXA DA ROMANHA,42,"","[""Artichoke Purple of Romagna"", ""Alcarchofa Roha de Romanha"", ""Cynara scolymus""]",20,7 - 21,1.250KG,"",,100 x 80,R1 -,R2 Fev - Mai,R3 Fev - Mai,"Flores roxas. Necessita de frio para florescer. Planta perene. Partes usadas: folhas, brácteas (flor) e raiz.",
Alface,AMERICANA DELÍCIA,47,"","[""Lettuce Delicious"", ""Lechuga Delicia"", ""Lactuca sativa""]",900,4 - 7,3.750KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,Americana repolhuda de folha crespa. Cor verde com centro creme. Resistente à queima de saia (Rhizoctonia solani) e ao calor. Semente preta. Disponível peletizada.,
Alface,GRANDE LAGOS AMERICANA,43,"","[""Lettuce Great Lakes"", ""Lechuga Grandes Lagos"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Abr - Jul,R2 Mar - Jul,R3 Mar - Jul,Folha repolhuda crespa de cor verde com o centro creme. Sementes brancas. Disponível peletizada.,
Alface,BRAVA,22,"","[""Lettuce Brava"", ""Lechuga Brava"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,"Planta grande: ótima qualidade visual. Resistente ao calor. Coloração verde-clara brilhante. Excelente sabor. Folhas menos crespas, porém planta de maior porte. ",
Alface,MIMOSA PRADO,924,"","[""Lettuce Mimosa Prado"", ""Lechuga Mimosa Prado"", ""Lactuca sativa""]",900,4 - 7,0.500KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,"Folhas tenras e brilhosas de coloração roxa. Planta com-pacta, cabeça fechada. Alta tolerância ao pendoamento. Resistência a Míldio (Bremia Lactucae –BI) Raças 1-17, 19, 21 e 23.",
Alface,ITAPUÃ SUPER,28,"","[""Lettuce Itapuã Super"", ""Lechuga Itapua Super"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,Folha solta crespa de cor verde-clara. Elevada tolerância ao pendoamento. Cabeça grande e volumosa. Sementes pardas. Disponível peletizada.,
Alface,CRESPA PALMAS,923,"","[""Lettuce Crespa Palmas"", ""Lechuga Crespa Palmas"", ""Lactuca sativa""]",900,4 - 7,0.500KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,Maior tolerância ao pendoamento. Planta grande com folhas de coloração brilhosa. Ótima qualidade de folhas. Folhas eretas. Resistência a *TBSV (Tomato Bushy Stunt Virus).,
Alface,MIMOSA RUBI,48,"","[""Lettuce Mimosa Ruby"", ""Lechuga Mimosa Rubi"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Abr - Jul,R2 Fev - Set,R3 Fev - Set,Folha solta com bordas recortadas de cor vermelho-rubi. Planta compacta de coloração atrativa. Ideal para decorar pratos e produção de baby leaf. Semente preta. Disponível peletizada.,
Alface,PIPA,921,"","[""Lettuce Pipa "", ""Lechuga Pipa"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,Planta de grande porte: ótima qualidade visual. Folhas repicadas e de coloração roxa: qualidade visual para mercado fresco. Excelente sabor e planta maior.,
Alface,HANSON CRESPA REPOLHUDA,29,"","[""Lettuce Hanson"", ""Lechuga Hanson"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,Folha crespa repolhuda de cor verde-clara.Sementes brancas. Disponível peletizada.,
Alface,QUATRO ESTAÇÕES,33,"","[""Lattuce Marvel Four Seasons"", ""Lechuga Cuatro Estaciones"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,Folha lisa repolhuda de cor verde-avermelhada.Semente preta. Disponível peletizada.,
Alface,REPOLHUDA CARMINIA,927,"","[""Lettuce Repolhuda Carminia"", ""Lechuga Repolhuda Carminia"", ""Lactuca sativa""]",900,4 - 7,0.500KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,Alta tolerância ao pendoamento. Folhas firmes de coloraçãoarroxeada. Planta de porte médio.,
Alface,CRESPA GRAND RAPIDS,37,"","[""Lettuce Grand Rapids TBR"", ""Lechuga Grand Rapids TBR"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,Folha solta crespa de cor verde-clara. Sementes pretas.Disponível peletizada,
Alface,SIMPSON (SEMENTE PRETA,38,"","[""Lettuce Simpson Black Seeded"", ""Lechuga Simpson"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,Folha solta crespa de cor verde. Semente preta.Disponível peletizada.,
Alface,VITÓRIA,39,"","[""Lettuce Vitoria Summer"", ""Lechuga Victoria de Verano"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Fev - Out,R2 Out - Mar,R3 Out - Mar,Folha solta lisa de cor verde-escura. Semente branca.Disponível peletizada.,
Alface,MIMOSA (SALAD BOWL),40,"","[""Lettuce Salad Bowl"", ""Lechuga Salad Bowl"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Abr - Jul,R2 Fev - Set,R3 Fev - Set,Folha solta com bordas recortadas de cor verde-clara.Semente preta. Disponível peletizada.,
Alface,MIMOSA VERMELHA,41,"","[""Lettuce Red Salad Bowl"", ""Lechuga Roja Salad Bowl"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Abr - Jul,R2 Fev - Set,R3 Fev - Set,"Folhas soltas com bordas, recortadas de cor vermelha.Sementes pretas. Disponível peletizada.",
Alface,CERBIATTA (CATALONHA),32,"","[""Lettuce Cerbiatta"", ""Lechuga Cerbiatta"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,Folhas lisas com bordas serrilhadas de cor verde.Sementes pretas.,
Alface,GAMBOA,922,"","[""Lettuce Gamboa"", ""Lechuga Gamboa"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,"Sistema radicular vigoroso, rusticidade, adaptação para cultivo em campo aberto e hidropônico. Variedade mais precoce. Coloração verde brilhante. Folhas espessas: re-sistência a danos causados pelas chuvas e pós-colheita.",
Alface,RAINHA DE MAIO (MANTEIGA),34,"","[""Lettuce May Queen"", ""Lechuga Reina de Mayo"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Abr - Jul,R2 Fev - Set,R3 Fev - Set,Folhas soltas lisas de cor verde-clara. Sementes brancas. Disponível peletizada.,
Alface,REGINA DE VERÃO,35,"","[""Lettuce Regina Summer"", ""Lechuga Regina de Verano"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Fev - Out,R2 Out - Mar,R3 Out - Mar,Folhas soltas lisas de cor verde-amarelada. Semente preta ou branca. Disponível peletizada. Opção de peletes verdes.,
Alface,BABA DE VERÃO,26,"","[""Lettuce Baba Summer"", ""Lechuga Baba de Verano"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Fev - Out,R2 Out - Mar,R3 Out - Mar,Folha lisa repolhuda de cor verde-clara. Sementes brancas. Disponível peletizada.,
Alface,BOSTON BRANCA (MANTEIGA),27,"","[""Lettuce White Boston"", ""Lechuga Boston Blanca"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Abr - Jul,R2 Fev - Set,R3 Fev - Set,Folha lisa repolhuda de cor verde-clara. Sementes brancas. ,
Alface,MARAVILHA DE INVERNO MANTEIGA,31,"","[""Lettuce Winter Marvel"", ""Lechuga Maravilha de Invierno"", ""Lactuca sativa""]",900,4 - 7,0.375KG,"",,30 x 30,R1 Abr - Jul,R2 Mar - Ago,R3 Fev - Ago,Folha lisa repolhuda de cor verde-clara. Sementes brancas. Disponível peletizada.,
Alface,ROMANA BRANCA DE PARIS,44,"","[""Lettuce White Paris Island Cos"", ""Lechuga Blanca de Paris"", ""Lactuca sativa""]",900,7 - 21,0.375KG,"",,30 x 30,R1 Abr - Jul,R2 Mar - Ago,R3 Fev - Ago,Folhas repolhudas eretas de cor verde-clara. Semente branca. Opção: peletizada na cor azul.,
Alface,BATAVIA CACIMBA,925,"","[""Lettuce Batavia Cacimba"", ""Lechuga Batavia Cacimba"", ""Lactuca sativa""]",900,4 - 7,0.500KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,"Planta de porte pequeno com boa tolerância ao pen-doamento. Folhas crespas com tonalidade vermelho-escura. Resistência a Míldio (Bremia Lactucae –BI) Raças 1-17, 19, 21 e 23.",
Alface,BATAVIA JOAQUINA,926,"","[""Lettuce Batavia Joaquina"", ""Lechuga Batavia Joaquina"", ""Lactuca sativa""]",900,4 - 7,0.500KG,"",,30 x 30,R1 Todo ano,R2 Todo ano,R3 Todo ano,"Planta de porte pequeno, coloração vermelho-clara com uma leve tonalidade de rosa. Destaca-se no rendilhando do limbor foliar e boa tolerância ao pendoamento. Resistência a Míldio (Bremia Lactucae –BI) Raças 1-17, 19, 21 e 23.",
Alho Porró,DE CARRENTAN,46,"","[""Leek American Flag"", ""Ajo-Puerro Americano"", ""Allium porrum""]",350,6 - 14,0.760KG,"",,50 x 15,R1 -,R2 Fev - Jul,R3 Fev - Jul,Folha ereta lisa de cor verde-escura.,
Almeirão,FOLHA LARGA/RADICHE,49,"","[""Chicory "", ""Achicoria"", ""Cichorium intybus""]",700,5 - 14,1.4KG,"",,20 x 15,R1 Mar - Out,R2 Todo ano,R3 Todo ano,Folha lisa de cor verde-clara. Fácil rebrote.,
Almeirão,CATALONHA,50,"","[""Chicory Catalonha"", ""Achicoria Catalonha"", ""Cichorium intybus""]",700,5 - 14,1.40KG,"",,20 x 15,R1 Mar - Out,R2 Todo ano,R3 Todo ano,Folhas lisas com bordas serrilhadas de cor verde.Fácil rebrote.,
Almeirão,VERDE SPADONA,51,"","[""Chicory Spadona"", ""Achicoria Verde Spadona"", ""Cichorium intybus""]",700,5 -14,1.40KG,"",,20 x 15,R1 Mar - Out,R2 Todo ano,R3 Todo ano,Folha lisa de cor verde. Fácil rebrote.,
Almeirão,DE CABEÇA PÃO DE AÇÚCAR,53,"","[""Chicory Pain de Sucre"", ""Achicoria de Cabeza Pan de Azucar"", ""Cichorium intybus""]",728,5 - 14,0.680KG,"",,30 x 20,R1 Abr - Jul,R2 Mar - Set,R3 Mar - Out,"Folha repolhuda de cor verde-clara. Para fechar a cabeça, precisa de frio. Disponível peletizada.",
Almeirão,DE CABEÇA VERMELHO,54,"","[""Chicory Early Palla Rossa"", ""Achicoria de Palla Rossa Temprano"", ""Cichorium intybus""]",728,5 - 14,0.680KG,"",,30 x 20,R1 Abr - Jul,R2 Mar - Set,R3 Mar - Out,"Folha semirrepolhuda de cor vermelha com verde.Para fechar a cabeça, precisa de frio.",
Berinjela Híbrida,CIÇA F1,58,"","[""Eggplant Hybrid Ciça"", ""Berenjena Hibrida Ciça"", ""Solanun melongena""]",200,7 - 14,0.200KG,"",,100 x 50,R1 Todo ano,R2 Ago - Mar,R3 Ago - Fev,Fruto cilíndrico de cor roxo-escura brilhante.Tolerante à Antracnose e podridão de Phomopsis. Muito produtiva e uniforme. ,
Berinjela,PRETA COMPRIDA,59,"","[""Eggplant Long Purple"", ""Berenjena Negra Larga"", ""Solanum melongena""]",200,7 - 14,0.200KG,"",,100 x 50,R1 Todo ano,R2 Ago - Mar,R3 Ago - Fev,Fruto cilíndrico de cor roxa.,
Berinjela,FLORIDA MARKET,61,"","[""Eggplant Florida Market"", ""Berenjena Florida Market"", ""Solanum melongena""]",200,7 - 14,0.200KG,"",,100 x 50,R1 Todo ano,R2 Ago - Mar,R3 Ago - Fev,Fruto oval de cor roxo-escura.,
Berinjela,HÍBRIDA NIOBE,60,"","[""Eggplant Florida Market"", ""Berenjena Florida Market"", ""Solanum melongena""]",230,7 - 14,0.175KG,"",,100 x 50,R1 Todo ano,R2 Ago - Mar,R3 Ago - Fev,"Fruto redondo de tamanho mediano. Coloração roxa, muito brilhante, cálice roxo escuro com poucos espinhos. Carne branca com poucas sementes. Excelente para culinária.",
Berinjela,HÍBRIDA MORELLA,56,"","[""Eggplant Hybrid Morella"", ""Berenjena Híbrido Ciça"", ""Solanum melongena""]",200,7 - 14,0.75KG,"",,100 x 50,R1 Todo ano,R2 Ago - Mar,R3 Ago - Fev,"Planta vigorosa, estrutura ereta e adaptada para cultivo em estufas e campo aberto. Frutos compridos de formato cilíndrico, coloração preta brilhante, cálice verde e polpa branca.",
Beterraba Híbrida,MERLOT,930,"","[""Beet Hybrid Merlot"", ""Remolacha Hibrido Merlot"", ""Beta vulgaris""]",70,4 - 14,9.5KG,"",,30 x 10,R1 Todo ano,R2 Todo ano,R3 Todo ano,"Planta vigorosa, raízes uniformes de formato globular. Folhas muito resistentes e sadias. ",
Beterraba,ITAPUÃ 202,65,"","[""Beet Itapuã 202 Summer"", ""Remolacha Itapuã 202 Verano"", ""Beta vulgaris""]",90,4 - 14,7.5KG,"",,30 x 10,R1 Todo ano,R2 Todo ano,R3 Set - Mai,Raízes de alta produtividade e uniformidade. Resistente à Cercospora. Folhas excelentes para baby leaf e hidroponia. ,
Beterraba,CHATA DO EGITO,66,"","[""Beet Crosby Egyptian"", ""Remolacha Chata do Egipto"", ""Beta vulgaris""]",70,4 - 14,9.5KG,"",,30 x 10,R1 Todo ano,R2 Todo ano,R3 Todo ano,Raiz globular achatada.,
Beterraba,MARAVILHA,67,"","[""Beet Early Wonder"", ""Remolacha Early Wonder"", ""Beta vulgaris""]",70,4 - 14,9.50KG,"",,30 x 10,R1 Todo ano,R2 Todo ano,R3 Todo ano,Raiz globular .,
Beterraba,VERMELHA COMPRIDA,68,"","[""Beet Long Red"", ""Remolacha Larga Roja"", ""Beta vulgaris""]",70,4 - 14,9.50KG,"",,30 x 10,R1 Todo ano,R2 Todo ano,R3 Todo ano,"Raiz cilíndrica. Indicada para restaurantes, apresenta rode-las de tamanho uniforme.",
Beterraba,EARLY WONDER TALL TOP,69,"","[""Beet Early Wonder Tall Top"", ""Remolacha Early Wonder Tall Top"", ""Beta vulgaris""]",70,4 - 14,9.50KG,"",,30 x 10,R1 Todo ano,R2 Todo ano,R3 Todo ano,Raiz globular.,
